詞彙,詞類
差不(˙ㄅㄨ)多,Vs
需要,Vst
牛排,N
米,N
三明治,N
西瓜,N
啤酒,N
紅茶,N
點菜,V-sep
酸,Vs
苦,Vs
鹹,Vs
辣,Vs
點心,N
冰淇淋,N
餅乾,N
漢堡,N
青菜,N
鹽,N
糖,N
煮,V
夠,Vs-pred
味道,N
香,Vs
新鮮(˙ㄒㄧㄢ),Vs
烤,V
嚐,V
裝,V
刀(子),N
叉(子),N
湯匙,N
筷子,N
可能,N
邊/邊兒,N
阿姨,N
愛,N
愛情,N
愛惜,Vst
愛心,N
安定,Vs
安排,N
安排,V
安心,Vs
巴士,N
把握,V
白,Vs
白菜,N
白天(˙ㄊㄧㄢ),N
擺,V
百貨公司,N
班機,N
搬家,V-sep
辦,V
辦理,V
半天,N
半夜,N
幫助,V
榜樣,N
棒,Vs
包,V
包含,Vst
寶貝,N
寶貴,Vs
保護,V
保守,Vs
保養,V
保證/証,N
保證/証,V
抱,V
抱怨,V
報名,V-sep
背包,N
北方,N
被動,Vs
背後,N
背景,N
輩子,N
本人,N
本子,N
笨,Vs
逼,V
比,V
避免,V
必要,Vs
鞭炮,N
變,Vp
變成,Vpt
變更,V
變化,N
變化,Vs
便條,N
標準,N
標準,Vs
表,N
表達,V
表面,N
表示,V
表現,N
表現,V
表演,V
冰,N
冰塊/冰塊兒,N
餅,N
病,Vp
伯伯(˙ㄅㄛ),N
博士,N
播,V
不必,Vaux
不斷,Vs
不見(了),Vp
不幸,Vs
不得了,Vs
不滿,Vs
不少,Vs
不足,Vs
部分(˙ㄈㄣ)/份,N
部門,N
布,N
布/佈置,V
擦,V
猜,V
材料,N
採用,V
餐桌,N
參考,V
草地,N
草原,N
差別,N
差異,N
查,V
產品,N
產生,Vpt
嘗/嚐試,V
超過,Vpt
超級,Vs-attr
炒,V
吵,V
吵架,V-sep
車禍,N
成,Vpt
成果,N
成就,N
成熟,Vs
成長,Vs
程度,N
承認,V
誠實,Vs
吃喝玩樂,Vi
充實,Vs
蟲(子),N
抽,V
醜,Vs
臭,Vs
初,N
出版,V
出差,V-sep
出門,V-sep
出租,V
除夕,N
廚師,N
處理,V
傳統,Vs
創造,V
吹,V
春節,N
詞,N
刺激,N
刺激,Vs
