詞彙,詞類
報關,V-sep
報價,N
報刊,N
報應,N
報章,N
暴力,Vs
暴雨,N
爆發,Vpt
抱負,N
抱歉,Vs
碑,N
悲哀,Vs
悲觀,Vs
貝殼,N
倍數,N
背誦,V
背心,N
被子,N
奔騰,Vi
本事,N
本位,N
本性,N
本質,N
崩潰,Vp
編輯,N
編輯,V
編寫,V
編織,V
編制,N
編製,V
邊界,N
邊緣,N
貶,Vp
貶值,Vp
匾額,N
便,N
辨認,V
辨識,V
辯,V
辯護,Vi
辯論,Vi
變革,N
變遷,Vs
變通,Vi
變形,Vp
標籤,N
標語,N
表白,Vi
表明,Vi
鼻孔,N
鼻涕,N
筆錄,N
筆友,N
比率,N
比擬,V
比喻,N
比重,N
必備,Vs-attr
閉幕,Vp
閉塞,Vs
避難,Vi
避孕,V-sep
畢生,N
幣值,N
憋,V
別,V
別墅,N
兵,N
賓館,N
柄,N
並列,Vst
並重,Vs
併發,Vpt
病床,N
病菌,N
病情,N
撥,V
波及,Vst
波浪,N
剝,V
剝削,V
搏鬥,Vi
播出,V
補給,V
補救,V
補習班,N
哺乳動物,N
不便,Vs
不等,N
不動產,N
不法,Vs-attr
不凡,Vs
不公,Vs
不及,Vs-pred
不禁,Vaux
不堪,Vs
不力,Vs-pred
不惜,Vs
不肖,Vs-attr
不懈,Vs
不再,Vs-pred
部落,N
部署,V
步調,N
步驟,N
猜測,V
猜忌,Vst
猜想,V
裁縫,N
裁減,V
財團,N
財政,N
才智,N
採訪,V
採光,N
採納,V
採取,V
彩繪,V
餐具,N
參謀,N
殘暴,Vs
殘酷,Vs
殘殺,V
慘重,Vs
燦爛,Vs
蒼白,Vs
蒼蠅(˙ㄧㄥ),N
操縱,V
草案,N
草叢,N
草率,Vs
草藥,N
測,V
策畫/劃,V
差額,N
插曲,N
插嘴,V-sep
茶具,N
察覺,Vpt
查明,V
蟬,N
饞,Vs
潺潺,Vs
猖獗,Vs
腸,N
長遠,Vs
場次,N
場面,N
倡導,V
唱腔,N
暢銷,Vs
產物,N
產值,N
超速,Vp
超脫,Vst
抄襲,V
吵嘴,Vi
車輛,N
車廂,N
撤回,V
撤銷,V
沉默,Vs
沉思,Vi
沉重,Vs
塵土,N
呈,Vst
乘,Vst
承包,V
承擔,V
承諾,N
成敗,N
成見,N
成就,V
成品,N
成全,V
成人,N
成效,N
成衣,N
成員,N
成長,N
稱號,N
稱呼,V
撐腰,Vi
程式,N
呈獻,V
誠心,N
誠心誠意,Vs
誠摯,Vs
稱,V
吃驚,Vs
吃苦,Vs
吃力,Vs
持,V
持久,Vs
持平,Vs
持續,Vaux
池(子),N
遲鈍,Vs
充斥,Vst
充裕,Vs
沖淡,V
沖天,Vs
衝,Vi
衝動,Vs
衝擊,V
衝突,N
憧憬,Vst
重疊,Vs
崇尚,Vst
寵愛,Vst
寵物,N
抽查,V
抽空,Vi
抽象,Vs
抽樣,V-sep
愁,N
仇,N
仇恨,N
稠密,Vs
出超,Vs
出錯,Vp-sep
出發點,N
出局,Vp
出口,N
出力,V-sep
出路,N
出馬,Vi
出賣,V
出面,Vi
出名,Vs
出品,N
出示,V
出手,Vi
出頭,N
出頭,Vp
出土,Vp
出息(˙ㄒㄧ),N
出血,Vp
初期,N
儲備,V
鋤頭(˙ㄊㄡ),N
處,Vi
處方,N
處分,N
處分,V
處境,N
處事,Vi
處於,Vst
處女,N
穿梭,Vi
傳,V
傳遞,V
傳奇,N
傳奇,Vs
傳神,Vs
傳授,V
船隻,N
喘,V
創傷,N
創,V
創辦,V
創立,V
創新,V
創業,V-sep
創作,V
吹牛,V-sep
垂,V
垂直,Vs
辭,V
辭典,N
辭行,Vi
慈善,Vs
此刻,N
次要,Vs-attr
伺候(˙ㄏㄡ),V
刺殺,V
匆忙,Vs
從容,Vs
湊巧,Vs
粗糙,Vs
粗魯,Vs
促,V
促成,Vpt
促使,Vst
促銷,V
簇擁,V
摧殘,V
摧毀,V
催眠,V
脆弱,Vs
存貨,N
磋商,Vi
撮合,V
搭配,V
達,Vst
答覆,V
打鬥,Vi
打賭,V-sep
打發(˙ㄈㄚ),V
打擊,V
打量,V
打獵,V-sep
打牌,V-sep
打手,N
打烊,Vp
大道,N
大隊,N
大使,N
大選,N
大洋洲,N
大意,N
大致,Vs-attr
呆,Vs
待,Vi
歹徒,N
逮捕,V
代課,V-sep
怠慢,Vst
擔,V
擔當,V
擔負,V
單價,N
單據,N
單親,Vs-attr
單行道,N
膽,N
膽固醇,N
淡季,N
淡水,N
導師,N
導致,Vst
島嶼,N
道,Vi
道別,Vi
道地,Vs
道士,N
道義,N
到期,Vp
倒數,Vi
當兵,V-sep
當代,N
當局,N
當前,N
當心,Vs
黨派,N
黨員,N
登場,Vi
登陸,Vi
燈火,N
燈籠(˙ㄌㄨㄥ),N
等候,Vst
等價,Vs
瞪,V
滴,V
嘀咕(˙ㄍㄨ),Vi
底片,N
抵,V
抵押,V
抵制,V
地表,N
地步,N
地勢,N
地域,N
地獄,N
地質,N
地主,N
締結,V
締造,V
弟兄(˙ㄒㄩㄥ),N
顛覆,V
典型,N
典雅,Vs
點子,N
奠定,Vpt
惦記,Vst
電工,N
電力,N
電流,N
電器,N
電視劇,N
電壓,N
凋零,Vs
調,V
調查,N
調度,Vi
吊橋,N
釣魚,V-sep
疊,V
頂,V
定額,N
定義,N
釘,V
訂購,V
丟棄,V
凍結,V
洞穴,N
動產,N
動機,N
動靜,N
動力,N
動亂,Vs
動脈,N
動態,N
動向,N
動員,V
抖,V
陡,Vs
逗留,Vi
鬥志,N
督促,V
獨創,V
獨到,Vs
獨占/佔,V
讀物,N
堵,V
堵塞,Vst
賭博,Vi
賭場,N
渡,V
度量衡,N
端正,Vs
短缺,Vs
短暫,Vs
斷絕,V
堆積,V
隊伍,N
兌現,V
對比,N
對照,Vst
對峙,Vs
頓,Vi
多寡,N
多媒體,N
多元,Vs
奪魁,Vp
躲避,V
墮胎,V-sep
額外,Vs-attr
惡,Vs-attr
惡化,Vp
惡性,Vs-attr
惡意,N
恩愛,Vs
恩情,N
恩人,N
恩怨,N
兒女,N
耳光,N
發電,Vi
發瘋,Vp
發掘,V
發誓,V-sep
發炎,Vp
發音,N
發育,Vs
發展,N
發作,Vp
法定,Vs-attr
法官,N
法令,N
法人,N
法則,N
法制,N
法治,N
翻臉,Vp
翻身,V-sep
翻新,V
繁多,Vs
繁體,N
藩籬,N
返,V
反擊,V
反射,Vi
反省,Vi
犯規,V-sep
販毒,Vi
販賣,V
方位,N
方向盤,N
方針,N
方正,Vs
妨礙,V
防備,V
防範,V
防水,Vs
防衛,V
防禦,V
防治,V
仿冒,V
仿造,V
紡織,Vi
放蕩,Vs
放寬,V
放款,Vi
放任,Vst
放鬆,Vs
放映,V
放逐,Vi
非凡,Vs
非洲,N
飛彈,N
飛翔,Vi
飛行,Vi
肥料,N
廢,V
廢除,V
廢棄,V
廢墟,N
廢止,V
費力,Vs
沸騰,Vp
肺炎,N
分辨,V
分寸,N
分擔,V
分發,Vi
分割,V
分化,Vpt
分級,V-sep
分家,V-sep
分解,V
分離,Vs
分裂,Vp
分泌,V
分享,V
分子,N
墳墓,N
粉紅,Vs-attr
粉刷,V
分量,N
糞,N
封,V
封閉,Vs
封鎖,V
封條,N
風暴,N
風潮,N
風光,N
風光,Vs
風化,Vp
風力,N
風尚,N
風水(˙ㄕㄨㄟ),N
風行,Vs
鋒面,N
豐盛,Vs
豐收,Vs
縫,N
奉獻,V
奉養,V
佛經,N
佛像,N
否決,V
膚淺,Vs
敷衍,V
俘虜,N
俘虜,V
浮動,Vi
服從,V
服飾,N
服務,N
服刑,V-sep
幅度,N
福氣,N
輻射,N
斧頭(˙ㄊㄡ),N
撫養,V
撫育,V
腐爛,Vp
腐蝕,Vst
腐朽,Vp
付款,V-sep
負,Vst
負面,N
富,Vs-attr
富貴,N
富有,Vst
婦人,N
附上,Vpt
復甦,Vp
復原,Vp
賦予,V
該死,Vs
改編,V
改觀,Vp
改良,V
改選,V
鈣,N
概括,Vst
概況,N
蓋章,V-sep
尷尬,Vs
干擾,V
干涉,V
乾燥,Vs
感觸,N
感性,Vs
綱領,N
剛強,Vs
鋼鐵,N
崗位,N
高見,N
高壓,N
告別,V
告狀,V-sep
胳膊(˙ㄅㄛ),N
歌唱,Vi
歌手,N
歌頌,V
疙瘩(˙ㄉㄚ),N
鴿子,N
隔閡,N
隔天,N
格局,N
格式,N
革新,V
各界,N
各自,N
個數,N
個體,N
給予,V
跟進,Vi
跟前,N
根源,N
耕地,N
更動,V
弓,N
工地,N
工讀,Vi
工藝品,N
公安,N
公費,N
公會,N
公民,N
公認,V
公事,N
公文,N
公務,N
公務員,N
公益,N
公債,N
功勞,N
功利,Vs
攻,V
攻讀,V
攻擊,V
供給,V
宮殿,N
恭敬,Vs
恭維,V
鞏固,Vs
共產,Vs-attr
共和國,N
共鳴,N
供養,V
勾結,V
溝,N
購,V
構想,N
孤獨,Vs
孤兒,N
孤立,Vs
辜負,Vst
估價,V-sep
古怪,Vs
古跡,N
古籍,N
古物,N
股市,N
鼓吹,V
鼓動,V
雇/僱,V
雇/僱用,V
固體,N
固有,Vs-attr
固執,Vs
顧全,V
蝸牛,N
寡婦,N
拐,V
官,N
官司(˙ㄙ),N
棺材(˙ㄘㄞ),N
觀,V
觀測,V
觀感,N
觀光,N
觀看,V
觀摩,V
觀望,Vi
關稅,N
關切,Vst
關懷,Vst
關頭,N
關係,Vst
關照,Vst
管教,V
管理,N
管線,N
管子,N
貫徹,Vst
慣,V
灌,V
灌溉,V
灌輸,V
光顧,V
光滑,Vs
光輝,N
光芒,N
規範,N
規格,N
規矩,Vs
規則,Vs
歸,V
歸,Vst
歸還,V
歸納,V
軌道,N
鬼怪,N
貴賓,N
棍子,N
國產,Vs-attr
國防,N
國境,N
國君,N
國民,N
國營,Vs-attr
果斷,Vs
果實,N
果樹,N
過關,V-sep
過量,Vs
過敏,Vs
過目,Vi
過人,Vs
過失,N
過癮,Vs
過重,Vs
海拔,N
海面,N
海嘯,N
海運,N
害蟲,N
喊,V
行號,N
行列,N
航空信,N
航行,Vi
好比,Vst
好手,N
好受,Vs
號,Vst
號子/證券行,N
合併,V
合同(˙ㄊㄨㄥ),N
合意,Vs
合約,N
何在,Vs
和解,Vi
和睦,Vs
和諧,Vs
核定,V
核對,V
核算,V
核准,V
核子,N
黑名單,N
黑社會,N
狠,Vs
狠心,Vs
哼,Vi
橫,Vi
衡量,V
轟動,Vs
轟轟烈烈,Vs
紅利,N
紅燒,V
洪水,N
宏偉,Vs
哄,V
後輩,N
後天,Vs-attr
候選人,N
呼籲,Vi
狐疑,Vs
戶口,N
互補,Vs
互動,N
互惠,Vs
護,V
花瓣,N
花朵,N
花卉,N
花紋,N
花樣,N
划不來,Vs
划得來,Vs
華裔,N
化工,N
化石,N
話劇,N
畫面,N
畫展,N
劃時代,Vs-attr
懷,Vst
懷疑,Vst
歡送,V
幻象,N
換取,V
患,Vst
患者,N
荒唐,Vs
慌張,Vs
惶恐,Vs
恍惚,Vs
灰,N
灰塵,N
輝煌,Vs
回合,N
回絕,V
回升,Vp
回憶,N
迴/回響,N
毀,V
毀損,V
悔恨,Vs
匯,V
匯票,N
會見,V
會談,Vi
會意,Vp
繪畫,N
賄賂,V
彗星,N
昏,Vs
渾身,N
混,Vs
混淆,Vs
混濁,Vs
活/活兒,N
活期,Vs-attr
火箭,N
火力,N
火焰,N
火藥,N
伙伴,N
獲,Vst
貨幣,N
貨品,N
豁達,Vs
積,Vst
基層,N
基地,N
基督,N
基因,N
機動,Vs-attr
機警,Vs
機率,N
機密,N
機器人,N
機制,N
肌膚,N
飢餓,Vs
畸形,Vs
激增,Vs
吉利,Vs
吉祥,Vs
汲取,V
即,Vst
即日,N
嫉妒,Vst
極端,N
極端,Vs
集合,N
集結,V
集權,Vs
集團,N
急救,Vi
急躁,Vs
急診,Vi
籍貫,N
擊,V
擊落,V
計,Vst
繼承,Vpt
季風,N
劑量,N
紀律,N
技能,N
技藝,N
祭祀,V
傢伙(˙ㄏㄨㄛ),N
家家戶戶,N
家電,N
家屬,N
佳節,N
佳人,N
加緊,V
加快,V
加薪,V-sep
加重,V
枷鎖,N
夾雜,Vpt
假象,N
架,V
架(子),N
架構,N
假期,N
煎,V
監督,V
尖端,Vs-attr
堅固,Vs
堅忍,Vs
堅信,Vst
堅硬,Vs
兼職,Vi
艱鉅,Vs
艱苦,Vs
艱難,Vs
簡便,Vs
簡稱,Vst
簡化,Vpt
簡體,N
檢討,V
賤,Vs
濺,V
見解,N
見識,V
見證(˙ㄓㄥ),V
建造,V
健身,Vi
健身房,N
健壯,Vs
將軍,N
獎勵,V
獎賞,N
獎狀,N
講理,Vs
講習,N
講義,N
講座,N
交錯,Vs
交貨,V-sep
交集,N
交情,N
交涉,Vi
交談,Vi
焦急,Vs
腳本,N
攪和(˙ㄏㄨㄛ),Vi
轎車,N
叫好,Vi
教官,N
教化,V
教誨,N
教徒,N
教學,N
教員,N
較量,Vi
階層,N
階級,N
街坊(˙ㄈㄤ),N
接管,V
接納,V
接洽,V
揭幕,Vp
揭曉,V
截,V
潔白,Vs
節儉,Vs
節慶,N
結實(˙ㄕ),Vs
結業,Vp
結緣,Vi
捷運,N
解答,N
解放,V
解渴,Vs
解剖,V
解說,V
解體,Vp
解脫,V
解約,Vp-sep
屆,Vst
戒,V
戒備,Vi
借貸,V
藉口,N
介入,V
金錢,N
金魚,N
津貼,N
緊湊,Vs
緊密,Vs
緊縮,Vi
謹慎,Vs
勁/勁兒,N
進場,Vi
進度,N
進攻,V
進化,Vp
進軍,V
進修,V
進展,Vi
晉級,Vp
禁令,N
精,Vs
精光,Vs
精華,N
精明,Vs
精髓,N
精緻,Vs
經典,N
經濟,Vs
經書,N
驚惶,Vs
驚奇,Vs
驚喜,Vs
驚險,Vs
鯨魚,N
井,N
警報,N
警覺,Vs
警惕,V
警衛,N
景觀,N
景氣,N
景物,N
景象,N
敬,V
敬佩,Vst
境地,N
靜脈,N
靜態,N
競賽,Vi
競選,V
競爭,N
揪,V
糾紛,N
酒店,N
酒館,N
酒精,N
就,Vst
就緒,Vs
救濟,V
救援,V
居,Vst
局面,N
沮喪,Vs
舉例,V-sep
舉止,N
舉重,N
巨人,N
拒,V
聚餐,V-sep
俱全,Vs-pred
捐獻,V
捐贈,V
決賽,N
決議,N
抉擇,N
絕跡,Vp
均衡,Vs
均勻,Vs
軍備,N
軍閥,N
軍官,N
軍艦,N
開辦,V
開導,V
開動,Vi
開發,N
開飯,Vp
開放,Vs
開口,V-sep
開闊,Vs
開路,V-sep
開幕,Vp
開盤,Vp
開闢,V
開啟,Vpt
開頭/開頭兒,N
開銷,N
開業,Vp
開展,V
開張,Vp
刊物,N
刊登,V
看守,V
康復,Vp
慷慨,Vs
扛,V
抗爭,Vi
考場,N
考古,Vi
考量,N
考生,N
考驗,V
烤肉,N
靠,Vst
刻畫/劃,Vi
科幻,Vs
苛責,V
殼,N
可觀,Vs
可望,Vaux
可行,Vs
刻薄,Vs
刻苦,Vs
客機,N
課業,N
克制,V
吭聲,Vi
空,N
空曠,Vs
空難,N
空談,Vi
空運,V
孔,N
恐嚇,V
恐懼,Vs
口頭,N
口吻,N
扣除,V
苦工,N
苦難,N
苦惱,Vs
苦衷,N
庫存,N
誇,V
誇耀,V
跨越,V
快活(˙ㄏㄨㄛ),Vs
快速,Vs
寬廣,Vs
寬闊,Vs
款待,V
款式,N
狂風,N
狂妄,Vs
礦產,N
礦工,N
虧,Vp
昆蟲,N
捆,V
困,Vi
困境,N
困擾,N
困擾,Vs
擴建,V
擴散,Vs
擴張,Vst
拉票,V-sep
臘月,N
來賓,N
來客,N
攔,V
懶惰,Vs
懶散,Vs
朗讀,V
朗誦,V
浪費,V
牢,N
勞改,Vi
勞累,Vs
老年,N
老人家(˙ㄖㄣ)(˙ㄐㄧㄚ),N
老鼠,N
老天爺,N
老頭兒/老頭子,N
老鄉,N
老子,N
雷,N
雷達,N
雷同,Vs
累積,V
類似,Vst
類型,N
冷凍,V
冷汗,N
冷門,Vs
冷清,Vs
勒索,V
黎明,N
罹難,Vp
里程,N
理財,Vi
理論,Vi
理所當然,Vs
理性,Vs
理學,N
理智,Vs
禮服,N
禮節,N
禮貌,Vs
力求,V
力行,V
力學,N
立國,Vi
立即,Vs-attr
立體,Vs
利率,N
利弊,N
例,N
歷屆,N
歷來,N
歷年,N
聯,N
聯,V
聯盟,N
聯繫,V
聯想,V
連帶,Vs-attr
連結,V
連任,Vst
連線,V-sep
廉價,Vs
廉潔,Vs
臉龐,N
臉譜,N
良機,N
兩極,N
兩口子,N
遼闊,Vs
列,V
列車,N
列國,N
列入,Vst
獵人,N
烈士,N
臨床,Vs-attr
鄰里,N
鈴,N
靈,Vs
靈感,N
靈驗,Vs
領隊,N
領會,Vst
領悟,Vpt
令,V
溜冰,V-sep
留,V
流程,N
流傳,V
流落,Vi
流氓,N
流失,Vst
流水,N
流通,Vi
流星,N
流域,N
柳樹,N
籠子,N
籠罩,Vs
壟斷,V
樓房,N
漏,Vpt
爐子,N
陸地,N
路過,V
露天,N
錄影,V-sep
錄影機,N
輪廓,N
倫理,N
淪陷,Vp
論點,N
卵,N
囉嗦(˙ㄙㄨㄛ),Vs
鑼,N
邏輯,N
落得,Vst
落魄,Vs
落選,Vp
駱駝(˙ㄊㄨㄛ),N
驢,N
鋁,N
旅費,N
旅途,N
旅行,N
旅遊,N
履歷,N
履行,V
麻醉,V
馬鈴薯,N
埋伏,Vi
買賣,N
買主,N
邁,V
邁進,Vi
麥子,N
賣座,Vs
瞞,V
蠻橫,Vs
滿懷,Vst
漫長,Vs
蔓延,Vs
盲從,Vs
盲人,N
芒果,N
茫然,Vs
毛毯,N
茂密,Vs
冒險,Vi
眉毛(˙ㄇㄠ),N
眉頭,N
媒體,N
美滿,Vs
美容院,N
美食,N
美洲,N
悶,Vs
悶熱,Vs
門戶,N
蒙,Vst
猛烈,Vs
夢見,Vpt
謎,N
謎語,N
迷宮,N
迷惑,Vs
迷戀,Vst
彌補,V
密集,Vs
蜜,N
鳴,Vi
明理,Vs
明日,N
明智,Vs
名額,N
名號,N
名氣,N
名勝,N
名聲,N
名堂,N
名下,N
冥想,Vi
命名,V-sep
命中,Vpt
綿延,Vst
勉強,V
免稅,Vs
免疫,Vs
面孔,N
面談,Vi
描繪,V
描述,V
民俗,N
民營,Vs-attr
敏感,Vs
敏捷,Vs
滅,V
模範,N
模具,N
模式,N
魔術,N
末,N
末期,N
墨,N
沒落,Vs
沒收,V
默契,N
漠視,V
謀生,Vi
母語,N
木材,N
木刻,N
木料,N
木偶,N
沐浴,Vi
目睹,Vpt
目光,N
目擊,Vpt
牧場,N
幕,N
募集,V
納悶,Vs
納入,V
納稅,V-sep
耐,Vs-pred
耐力,N
男方,N
南極洲,N
難度,N
難關,N
難免,Vs
難題,N
難民,N
囊括,V
腦海,N
腦力,N
內閣,N
內涵,N
內銷,Vs-attr
內在,N
內戰,N
內政,N
能量,N
擬,V
擬定,V
膩,Vs
念頭(˙ㄊㄡ),N
娘,N
娘家(˙ㄐㄧㄚ),N
凝固,Vp
凝結,V
凝聚,V
凝視,V
扭轉,V
農具,N
農田,N
農作物,N
弄錯,Vp
奴隸,N
努力,N
怒氣,N
暖,V
挪,V
懦弱,Vs
諾言,N
女方,N
虐待,V
歐洲,N
趴,Vi
拍馬屁,Vi
拍攝,V
拍照,V-sep
拍子,N
排除,V
排擠,V
排名,Vi
派出所,N
派對,N
派遣,V
派頭,N
判,V
盼,Vst
旁人,N
旁聽,V
拋,V
拋棄,V
跑道,N
泡沫,N
陪伴,V
培訓,V
培育,V
配,V
配,Vs
配給,V
配音,V-sep
噴漆,V-sep
盆地,N
蓬勃,Vs
捧場,Vi
批發,V
批准,Vpt
疲憊,Vs
偏差,N
便宜(˙ㄧ),N
便宜(˙ㄧ),Vst
片刻,N
拼,V
貧苦,Vs
貧民,N
品味,N
品種,N
乒乓球/桌球,N
平凡,Vs
平面,N
平穩,Vs
平行,Vs
評估,V
評價,N
評論,V
潑,V
婆家,N
破案,V-sep
破產,Vp
破除,V
破獲,V
破例,Vp-sep
破碎,Vs
迫害,V
魄力,N
樸素,Vs
曝光,Vp
暴露,Vs
漆,N
淒涼,Vs
欺侮,V
奇觀,N
奇蹟,N
奇妙,Vs
奇異,Vs
期待,Vst
期貨,N
期望,Vst
旗幟,N
乞丐,N
啟,Vi
啟發,V
啟示,N
啟事,N
起步,Vi
起伏,Vi
起源,N
氣概,N
氣管,N
氣派(˙ㄆㄞ),Vs
氣勢,N
氣體,N
氣壓,N
契機,N
棄權,Vi
恰當,Vs
洽商,Vi
洽談,Vi
鉛,N
牽連,Vst
簽署,V
謙遜,Vs
前輩,N
前程,N
前後,N
前景,N
前科,N
前提,N
潛藏,Vi
潛力,N
虔誠,Vs
淺薄,Vs
淺顯,Vs
腔調,N
牆角,N
強勁,Vs
強求,V
強權,N
強壯,Vs
瞧不起,Vst
橋樑,N
巧合,Vs
俏,Vs
翹,Vs
峭壁,N
翹課,V-sep
切磋,V
切實,Vs
竊賊,N
親,Vs
親熱,Vs
親生,Vs-attr
侵犯,V
侵略,V
侵蝕,V
侵襲,V
欽佩,Vst
琴,N
勤奮,Vs
青春,N
青翠,Vs
青蛙,N
清澈,Vs
清潔,Vs
清靜,Vs
清廉,Vs
清幽,Vs
清掃,V
傾向,N
輕薄,Vs
輕蔑,Vs
情報,N
情操,N
情婦,N
情節,N
情景,N
情侶,N
情趣,N
慶幸,Vs
丘陵,N
求學,Vi
求助,Vi
屈服,Vs
趨勢,N
渠道,N
取材,Vs
取締,V
取樣,N
取悅,V
趣味,N
圈,V
圈子,N
權力,N
權威,N
權益,N
泉源,N
勸導,V
勸告,N
缺陷,N
確保,V
確切,Vs
群島,N
群居,Vs
染料,N
嚷,Vi
饒,V
熱潮,N
熱帶,N
熱量,N
熱水瓶,N
仁愛,N
人次,N
人道,N
人禍,N
人際,N
人情,N
人群,N
人士,N
人手,N
人選,N
人造,Vs-attr
忍痛,Vs
任期,N
認錯,Vp
認定,V
日程,N
日光燈,N
容,V
容量,N
容納,Vst
容器,N
容許,V
溶,Vs
溶化,Vp
融合,V
融洽,Vs
榮譽,N
揉,V
柔軟,Vs
肉麻,Vs
肉體,N
儒家,N
入超,Vs
入口,Vi
入世,Vs
軟弱,Vs
軟體,N
撒謊,V-sep
撒,V
灑,V
塞車,Vs
賽,V
散文,N
散布/佈,V
喪事,N
嗓子,N
喪生,Vp
騷動,Vi
嫂子,N
色澤,N
剎(ㄕㄚ)/煞車,V-sep
沙拉,N
沙啞,Vs
傻瓜,N
山峰,N
山谷,N
山脈,N
閃電,N
閃爍,Vi
閃耀,Vs
擅長,Vst
傷害,N
傷口,N
傷亡,Vp
商榷,Vi
商討,V
賞,V
上吊,Vi
上好,Vs-attr
上進,Vs
上空,N
上路,Vp
上門,Vi
上司,N
上下,N
上旬,N
上演,V
上癮,Vp
上漲,Vp
燒香,V-sep
奢侈,Vs
奢望,Vst
設,V
設施,N
設想,Vi
射擊,V
射手,N
涉及,Vpt
涉嫌,Vst
社論,N
社區,N
攝取,V
攝氏,N
攝影機,N
深奧,Vs
深沉,Vs
深度,N
深厚,Vs
深切,Vs
深入,V
深造,Vi
身段,N
身教,N
身為,Vst
身子,N
伸張,V
神,Vs
神情,N
審核,V
審判,V
審慎,Vs
審議,V
滲入,V
生詞,N
生火,V-sep
生理,N
生平,N
生氣,N
生前,N
生人,N
生死,N
生態,N
生物,N
生效,Vp
生硬,Vs
生育,N
生育,V
生殖,Vi
升遷,Vi
升值,Vp
聲稱,V
聲明,N
聲勢,N
省,N
省事,Vs
盛,Vs
盛情,N
盛行,Vs
盛裝,Vs
勝地,N
聖賢,N
失,Vpt
失靈,Vp
失落,Vs
失明,Vp
失事,Vp
失手,Vs
失蹤,Vp
師範,Vs-attr
施肥,V-sep
施行,V
屍體,N
石膏,N
十足,Vs
拾,V
時差,N
時光,N
時節,N
時髦,Vs
時效,N
實踐,V
實況,N
實例,N
實習,Vi
實證,N
實質,N
屎,N
史料,N
使喚,V
使節,N
使勁,Vi
使命,N
士兵,N
仕女,N
示範,Vi
市面,N
市容,N
世代,N
世間,N
世事,N
試卷,N
試圖,Vaux
逝世,Vp
事故,N
事變,N
事態,N
事務,N
事宜,N
釋放,V
嗜好,N
視為,V
室友,N
適宜,Vs
適中,Vs
收藏,V
收費,V-sep
收集,V
收買,V
收縮,Vi
收聽,V
收益,N
手冊,N
手槍,N
手勢,N
守,V
守護,V
首府,N
首領,N
首席,N
首飾,N
首長,N
受害,Vp
受訓,V-sep
售貨員,N
授課,V-sep
狩獵,V
壽星,N
疏導,V
疏散,V
梳,V
書本,N
書面,N
書寫,V
舒暢,Vs
舒展,V
輸血,V-sep
束縛,V
樹苗,N
數據,N
率,V
霜,N
雙重,Vs-attr
雙打,N
爽快,Vs
水道,N
水稻,N
水晶,N
水庫,N
水力,N
水泥,N
水源,N
水蒸氣,N
睡眠,N
順從,Vs
順應,Vst
瞬間,N
說謊,V-sep
說笑,Vi
思潮,N
思念,Vst
思維,N
司令,N
斯文,Vs
私心,N
賜,V
松樹,N
慫恿,V
搜集,V
俗稱,Vst
俗語,N
塑膠,N
訴苦,Vi
素食,N
素質,N
算命,V-sep
算術,N
隨後,N
隧道,N
歲月,N
損,V
損害,V
損壞,V
損傷,Vst
縮小,Vp
所得,N
所在,N
索賠,Vi
瑣碎,Vs
牠,N
他人,N
塔,N
踏實,Vs
台階,N
太極拳,N
太平,Vs
態勢,N
貪,Vs
貪心,Vs
攤位,N
痰,N
談論,V
彈性,N
坦克,N
坦然,Vs
探病,V-sep
探究,V
探索,V
探望,V
探險,Vi
湯圓,N
堂堂,Vs
陶器,N
逃生,Vi
逃稅,V-sep
淘汰,V
套房,N
套裝,N
特區,N
特權,N
特約,Vs-attr
特徵,N
疼愛,Vst
剔除,V
啼,Vi
提拔,V
提倡,V
提出,Vpt
提及,V
提名,V
提升,V
提議,V
體操,N
體格,N
體積,N
體諒(˙ㄌㄧㄤ),Vst
體面,Vs
體系,N
體質,N
替代,Vst
添,V
天敵,N
天然氣,N
天性,N
天災,N
田地,N
田徑,N
甜美,Vs
挑剔(˙ㄊㄧ),V
調和,V
調和,Vs
調節,V
調皮,Vs
條例,N
挑戰,N
聽寫,V
停頓,Vi
停留,Vi
停滯,Vi
通報,V
通車,Vp
通稱,Vst
通貨膨脹,Vs
通緝,V
通行,Vi
通用,Vs-attr
同伴,N
同化,V
同鄉,N
同心,Vs
同性戀,N
同業,N
統計,N
統制,V
痛恨,Vst
偷渡,Vi
偷懶,Vs
投保,V
投機,Vs
投入,Vs
透明,Vs
徒弟,N
突擊,V
突兀,Vs
塗,V
圖,V
圖表,N
圖畫,N
圖騰,N
土壤,N
團聚,Vs
團員,N
推測,V
推崇,Vst
推出,Vpt
推選,V
退化,Vp
吞吞吐吐,Vi
托,V
拖,V
拖累,V
拖延,Vst
脫身,Vp
脫手,Vp
瓦斯,N
外表,N
外號,N
外力,N
外貿,N
外線,N
外銷,V
外遇,N
外在,N
外資,N
外祖父,N
外祖母,N
彎曲,Vs
完備,Vs
完美,Vs
玩弄,V
頑強,Vs
挽,V
挽救,V
萬事,N
萬歲,Vs
萬物,N
惋惜,Vs
亡國,Vp
往來,Vi
旺季,N
旺盛,Vs
威風,Vs
威力,N
萎縮,Vs
為,Vst
為人,N
為生,Vs
為首,Vs
為止,N
違背,Vpt
違約,V-sep
危害,V
圍巾,N
圍牆,N
圍繞,V
微弱,Vs
微小,Vs
維生素,N
胃,N
胃口,N
未婚夫,N
未婚妻,N
衛生,N
溫,Vs
溫帶,N
溫泉,N
溫習,V
溫馴,Vs
